longname,shortname,year,chapid
"Sharma, A. and Lall, U. (1999), A nonparametric approach for daily rainfall simulation, Mathematics and Computers in Simulation, Volume 48(4-6), pp.361-371.",Sharma and Lall,1999,b2_c6_r103
"Sharma, A. and O'Neill, R. (2002), A nonparametric approach for representing interannual dependence in monthly streamflow sequences - art. no. 1100, Water Resources Research, Volume 38(7), pp.1100-1100.",Sharma and O'Neill ,2002,b2_c6_r104
"Sharma, A. and Srikanthan, R. (2006), Continuous Rainfall Simulation: A Nonparametric Alternative, paper presented at 30th Hydrology and Water Resources Symposium, Institution of Engineers (Australia), Launceston.",Sharma and Srikanthan,2006,b2_c6_r105
"Sharma, A. and Mehrotra, R. (2010), Rainfall Generation, in Rainfall: State of the Science, edited by F. Y. Testik and M. Gebremichael, p. 287, American Geophysical Union, San Francisco.",Sharma and Mehrotra,2010,b2_c6_r106
"Sharma, A., Mehrotra, R. and Johnson, F. (2013), A New Framework for Modeling Future Hydrologic Extremes: Nested Bias Correction as a Precursor to Stochastic Rainfall Downscaling (invited), in Climate Change Modeling, Mitigation, and Adaptation, edited by R. Y. Surampalli, T. C. Zhang, C. S. P. Ojha, B. R. Gurjar, R. D. Tyagi and C. M. Kao, p. 698, American Society of Civil Engineers, Reston, Virginia.",Sharma et al,2013,b2_c6_r107
"Singh, S.V. and Kripalani, R.H. (1986), Analysis of persistence in daily monsoon rainfall over India, Journal of Climatology, Volume 6(6), pp.625-639.",Singh and Kripalani,1986,b2_c6_r108
"Sivakumar, B., Berndtsson, R., Olsson, J. and Jinno, K. (2001), Evidence of chaos in the rainfall-runoff process, Hydrological Sciences Journal, Volume 46(1), pp.131-145.",Sivakumar et al,2001,b2_c6_r109
"Carey-Smith, T., Sansom, J. and Thomson, P. (2014), A hidden seasonal switching model for multisite daily rainfall, Water Resources Research, Volume 50(1), pp.257-272.",Carey-Smith et al,2014,b2_c6_r11
"Srikanthan, R. and McMahon, T.A. (1985), Stochastic generation of rainfall and evaporation data, Tech. Paper No. 84, Aust. Water Resour. Council, Canberra, 1985, Australian Water Resources Council, Technical Paper No. 84.",Srikanthan and McMahon,1985,b2_c6_r110
"Srikanthan, R. and Pegram, G. (2009), A Nested Multisite Daily Rainfall Stochastic Generation Model, Journal of Hydrology, available at: http://www.science-direct.com/ until publication",Srikanthan and Pegram,2009,b2_c6_r111
"Srikanthan, R., McMahon, T., Harrold, T. and Sharma, A. (2003), Stochastic Generation of Daily Rainfall DataRep., CRC for Catchment Hydrology Technical Report 03, Melbourne, Australia.",Srikanthan et al,2003,b2_c6_r112
"Steinschneider, S., and Lall, U. (2015), A hierarchical Bayesian regional model for nonstationary precipitation extremes in Northern California conditioned on tropical moisture exports, Water Resources Research, Volume 51(3), pp.1472-1492.",Steinschneider and Lall,2015,b2_c6_r113
"Stern, R.D. and Coe, R. (1984), A Model Fitting Analysis of Daily Rainfall Data, Journal of the Royal Statistical Society. Series A (General), Volume 147(1), p.1.",Stern and Coe,1984,b2_c6_r114
"Viney, N.R. and Bates, B.C. (2004), It never rains on Sunday: The prevalence and implications of untagged multi-day rainfall accumulations in the Australian high quality data set, International Journal of Climatology, Volume 24, pp.1171-1192.",Viney and Bates,2004,b2_c6_r115
"Wallis, T.W.R. and Griffiths, J.F. (1997), Simulated meteorological input for agricultural models, Agricultural and Forest Meteorology, Volume 88(1-4), pp.241-258.",Wallis and Griffiths,1997,b2_c6_r116
"Wang, Q. J. and Nathan, R.J. (2007), A method for coupling daily and monthly time scales in stochastic generation of rainfall series, Journal of Hydrology, Volume 346(3-4), pp.122-130.",Wang and Nathan,2007,b2_c6_r117
"Wasko, C. and Sharma, A. (2015), Steeper temporal distribution of rain intensity at higher temperatures within Australian storms, Nature Geoscience, volume8(7), pp.527 - 529.",Wasko and Sharma,2015,b2_c6_r118
"Waymire, E. and Gupta, V.K. (1981), The mathematical structure of rainfall representations: 1. A review of the stochastic rainfall models, Water Resources Research, Volume 17(5), pp.1261-1272.",Waymire and Gupta,1981,b2_c6_r119
"Caskey, J.E. (1963), A MARKOV CHAIN MODEL FOR THE PROBABILITY OF PRECIPITATION OCCURRENCE IN INTERVALS OF VARIOUS LENGTH, Mon. Wea. Rev., Volume 91(6), pp.298-301.",Caskey,1963,b2_c6_r12
"Waymire, E., and Gupta, V.K. (1981), The mathematical structure of rainfall representations: 2. A review of the theory of point processes, Water Resources Research, Volume17(5), pp.1273-1285.",Waymire and Gupta,1981,b2_c6_r120
"Westra, S., Mehrotra, R., Sharma, A. and Srikanthan, R. (2012), Continuous rainfall simulation: 1 - A regionalised sub-daily disaggregation approach, Water Resources Research, Volume 48(1), W01535.",Westra et al,2012,b2_c6_r121
"Westra, S., Evans, J.P., Mehrotra, R. and Sharma, A. (2013), A conditional disaggregation algorithm for generating fine time-scale rainfall data in a warmer climate, Journal of Hydrology, Volume 479, pp.86-99.",Westra et al,2013,b2_c6_r122
"Westra, S., Fowler, H.J., Evans, J.P., Alexander, L.V., Berg, P., Johnson, F., Kendon, E.J., Lenderink, g. and Roberts, N.M. (2014), Future changes to the intensity and frequency of short-duration extreme rainfall, Rev Geophys, 52.",Westra et al,2014,b2_c6_r123
"Wheater, H. S.,  Isham, V.S., Cox, D.R., Chandler, R.E., Kakou, A., Northrop, P.J., Oh, L., Onof, C. and Rodriguez-Iturbe, I. (2000), Spatial-temporal rainfall fields: modelling and statistical aspects, Hydrology and Earth System Sciences, Volume 4(4), pp.581-601.",Wheater et al,2000,b2_c6_r124
"Wilby, R. L., Wigley, T.M.L., Conway, D., Jones, P.D., Hewitson, B.C., Main, J. and Wilks, D.S. (1998), Statistical Downscaling of General Circulation Model Output - a Comparison of Methods, Water Resources Research, Volume 34(11), pp.2995-3008.",Wilby et al,1998,b2_c6_r125
"Wilks, D.S. (1998), Multisite generalization of a daily stochastic precipitation generation model, Journal of Hydrology, Volume 210, pp.178-191.",Wilks,1998,b2_c6_r126
"Wilks, D.S. (1999), Simultaneous stochastic simulation of daily precipitation, temperature and solar radiation at multiple sites in complex terrain, Agricultural and Forest Meteorology, Volume 96(1-3), pp.85-101.",Wilks,1999,b2_c6_r127
"Wilks, D.S. (1999), Multisite downscaling of daily precipitation with a stochastic weather generator, Climate Research, volume 11(2), pp.125-136.",Wilks,1999,b2_c6_r128
"World Meteorological Organisation (WMO) (1994), WMO Guide to Hydrological Practices, World Meteorological Organisation, Geneva, p.770",World Meteorological Organisation,1994,b2_c6_r129
"Chapman, T. G. (1997), Stochastic models for daily rainfall in the Western Pacific, Mathematics and Computers in Simulation, Volume 43, pp.351-358.",Chapman,1997,b2_c6_r13
"Woolhiser, D.A. (1992), Modeling daily precipitation - progress and problems, in Statistics in the environmental and earth sciences, edited by A.T. Walden and P. Guttorp, p.306, Edward Arnold, London, U.K.",Woolhiser,1992,b2_c6_r130
"Bureau of Meteorology (1994) The Estimation of Probable Maximum Precipitation in Australia: Generalised Short-Duration Method, Bulletin 53, AGPS, Canberra, amended December 1996 and January 2003",Bureau of Meteorology,1994,b2_c6_r130
"Woolhiser, D.A. and Pegram, G.G.S (1979), Maximum Likelihood Estimation of Fourier Coefficients to Describe Seasonal Variations of Parameters in Stochastic Daily Precipitation Models, Journal of Applied Meteorology, Volume 18(1), pp.34-42.",Woolhiser and Pegram,1979,b2_c6_r131
"Woolhiser, D.A. and Roldán J. (1982), Stochastic daily precipitation models: 2. A comparison of distributions of amounts, Water Resources Research, volume 18(5), pp.1461-1468.",Woolhiser and Roldan,1982,b2_c6_r132
"Woolhiser, D.A. and Roldán, J. (1986), Seasonal and Regional Variability of Parameters for Stochastic Daily Precipitation Models: South Dakota, U.S.A, Water Resources Research, Volume 22(6), pp.965-978.",Woolhiser and Roldan,1986,b2_c6_r133
"Hasan, M. M., et al. (2014). Correcting bias in radar Z-R relationships due to uncertainty in point raingauge networks. Journal of Hydrology 519(Part B): 1668-1676.",Hasan,2014,b2_c6_r134
"Hay L.E., McCabe G.J., Wolock D.M. and Ayers M.A. (1991). Simulation of precipitation by weather type anaylsis. Water Resources Research, 27: 493-501",Hay et al,1991,b2_c6_r135
"Lambert M.F., Whiting J.P. and Metcalfe, A.V. (2003). A non-parametric hidden Markov model for climate state identification. Hydrology and Earth Systems Sciences, 7(5), pp. 652-667.",Lambert et al,2003,b2_c6_r136
"Thyer, M.; Kuczera, G. (2003). A hidden Markov model for modelling long-term persistence in multi-site rainfall time series 1. Model calibration using a Bayesian approach Journal of Hydrology, 275(1-2):12-26 ",Thyer and Kuczera,2003,b2_c6_r137
"Thyer, M.; Kuczera, G. (2003) A hidden Markov model for modelling long-term persistence in multi-site rainfall time series. 2. Real data analysis Journal of Hydrology, 275(1-2):27-48",Thyer and Kuczera,2003,b2_c6_r138
"Katz, R. and Parlange, M. B. (1995) Generalizations of chain-dependent processes: Application to hourly precipitation. Water Resour. Res.,31,1331-1341.",Katz and Parlange,1995,b2_c6_r139
"Chappell, A., Renzullo, L.J., Raupach, T.H. and Haylock, M. (2013), Evaluating geostatistical methods of blending satellite and gauge data to estimate near real-time daily rainfall for Australia, Journal of Hydrology, Volume 493, pp.105-114.",Chappell et al,2013,b2_c6_r14
"Gyasi?Agyei, Y. (1999). Identification of regional parameters of a stochastic model for rainfall disaggregation. Journal of Hydrology. Volume 223 pp. 148-163",Gyasi-Agyei,1999,b2_c6_r140
"Cowpertwait, P. S. P. (1991). Further developments of the Neyman?Scott clustered point process for modeling rainfall. Water Resources Research, Volume 27 pp.1431-1438",Cowpertwait,1991,b2_c6_r141
"Foufoula-Georgiou, E. and Guttorp, P. (1986). Compatibility of Continuous Rainfall Occurrence Models with Discrete Rainfall Observations, Water Resources Research 22(8):1316-1322",Foufoula-Georgiou and Guttorp,1986,b2_c6_r142
"Foufoula-Georgiou, E. and Lettenmaier, D.P. (1987). A Markov Renewal Model for Rainfall Occurrences, Water Resources Research 23(5): 875-884.",Foufoula-Georgiou and Lettenmaier,1987,b2_c6_r143
"Frost, A., R. Srikanthan, and P. Cowpertwait (2004), Stochastic generation of point rainfall data at subdaily timescales: a comparison of DRIP and NSRP, Technical report 04/09, Cooperative Research Centre - Catchment Hydrology, Melbourne, Australia.",Frost et al,2004,b2_c6_r144
"Grace, R.A. and Eagleson, P.S. (1966). The Synthesis of Short-Time-Increment Rainfall Sequences, Hydrodynamics Lab. Report 91, Dept. of Civil Engineering, Massachusetts Institute of Technology, Cambridge, MA.",Grace and Eagleson,1966,b2_c6_r145
"Grace, R.A. & Eagleson, P.S. (1967). A Model for Generating Synthetic Sequences of Short-Time-Interval Rainfall Depths. Proceedings International Hydrology Symposium, Fort Collins, Colorado: pp. 268-276.",Grace and Eagleson,1967,b2_c6_r146
"Haberlandt, U. (1998). Stochastic processes using regionalized model parameters, ASCE J. Hydrologic Engineering, 3(3), 160-168.",Haberlandt,1998,b2_c6_r147
"Jennings S. (2006). A High Resolution Point Rainfall Model Calibrated to Short Pluviograph or Daily Rainfall Data, PhD Thesis, The University of Adelaide, Australia.",Jennings,2006,b2_c6_r148
"Koutsoyiannis, D. and Foufoula-Georgiou, E. (1993). A scaling model of a storm hyetograph, Water Resources Research, 29(7), 2345-2361.",Koutsoyiannis and Foufoula-Georgiou,1993,b2_c6_r149
"Charles, S.P., Bates, B.C. and Hughes, J.P. (1999), A spatiotemporal model for downscaling precipitation occurrence and amounts, Journal of Geophysical Research-Atmospheres, Volume 104(D24), pp.31657-31669.",Charles et al,1999,b2_c6_r15
"Koutsoyiannis, D. and Xanthopoulos, T. (1990). A dynamic model for short-scale rainfall disaggregation, Hydrological Sciences Journal 35(3) 303-322.",Koutsoyiannis and Xanthopoulos,1990,b2_c6_r150
"Rosjberg, D., Madsen, H. and Rasmussen, P. F. (1992). Prediction in Partial Duration Series with Generalized Pareto-Distirbuted Exceedences, Water Resources Research 28(11): 3001-3010",Rosjberg et al,1992,b2_c6_r151
"Sariahmed, A. and Kisiel, C.C. (1968). Synthesis of sequences of summer thunderstorm volumes for the Atterbury watershed in the Tucson area. Proceedings International Association Hydrologic Sciences Symposium on Use of Analog and Digital Computers in Hydrology, 2: 439-447.",Sariahmed and Kisiel,1968,b2_c6_r152
"Chin, E.H. and Miller, J.F. (1980), On the Conditional Distribution of Daily Precipitation Amounts, Mon. Wea. Rev., Volume 108(9), pp.1462-1464.",Chin and Miller,1980,b2_c6_r16
"Chowdhury, S. and Sharma, A. (2007), Mitigating Parameter Bias in Hydrological Modelling due to Uncertainty in Covariates, Journal of Hydrology, 340(doi:10.1016/j.jhydrol.2007.04.010), pp.197-204.",Chowdhury and Sharma,2007,b2_c6_r17
"Ciach, G.J. (2003), Local random errors in tipping-bucket rain gauge measurements, Journal of Atmospheric and Oceanic Technology, Volume 20(5), pp.752-759.",Ciach,2003,b2_c6_r18
"Coe, R. and Stern, R.D. (1982), Fitting Models to Daily Rainfall Data, Journal of Applied Meteorology, Volume 21(7), pp.1024-1031.",Coe and Stern,1982,b2_c6_r19
"Bardossy, A. and Plate, E.J. (1992), Space-time model for daily rainfall using atmospheric circulation patterns, Water Resources Research, Volume 28(5), pp.1247-1259.",Bardossy and Plate,1992,b2_c6_r2
"Cole, J.A. and Sherriff, J.D.F. (1972), Some single- and multi-site models of rainfall within discrete time increments, Journal of Hydrology, Volume 17(1-2), pp.97-113.",Cole and Sheriff,1972,b2_c6_r20
"Connolly, R.D., Schirmer, J. and Dunn, P.K. (1998), A daily rainfall disaggregation model, Agricultural and Forest Meteorology, Volume 92(2), pp.105-117.",Connolly et al,1998,b2_c6_r21
"Cowpertwait, P.S.P. (2010), A spatial-temporal point process model with a continuous distribution of storm types, Water Resources Research, Volume 46(12).",Cowpertwait,2010,b2_c6_r22
"Cowpertwait, P.S.P., Kilsby, C.G. and  O'Connell, P.E. (2002), A space-time Neyman-Scott model of rainfall: Empirical analysis of extremes - art. no. 1131, Water Resources Research, Volume 38(8), pp.1131-1131.",Cowpertwait et al,2002,b2_c6_r23
"Cowpertwait, P.S.P., O'Connell, P.E., Metcalfe, A.V. and Mawdsley, J.A. (1996), Stochastic point process modelling of rainfall. II. Regionalisation and disaggregation, Journal of Hydrology, Volume 175(1-4), pp. 47-65.",Cowpertwait et al,1996,b2_c6_r24
"Das, D., Kodra, E., Obradovic, Z. and Ganguly, A.R. (2012), Mining extremes: Severe rainfall and climate change, in Frontiers in Artificial Intelligence and Applications, edited, pp. 899-900.",Das et al,2012,b2_c6_r25
"de Lima, M.I.P. and Grasman, J. (1999), Multifractal analysis of 15-min and daily rainfall from a semi-arid region in Portugal, Journal of Hydrology, Volume 220(1-2), pp.1-11.",de Lima and Grasman,1999,b2_c6_r26
"Deidda, R., Benzi, R. and Siccardi, F. (1999), Multifractal modeling of anomalous scaling laws in rainfall, Water Resources Research, Volume 35(6), pp.1853-1867.",Deidda et al,1999,b2_c6_r27
"Dennett, M.D., Rodgers, J.A. and Stern, R.D. (1983), Independence of Rainfalls through the Rainy Season and the Implications for the Estimation of Rainfall Probabilities, Journal of Climatology, Volume 3(4), pp.375-384.",Dennett et al,1983,b2_c6_r28
"Eagleson, P.S. (1978), Climate, Soil, and Vegetation 2. The Distribution of Annual Precipitation Derived From Observed Storm Sequences, Water Resources Research, Volume 14(5), pp.713-721.",Eagleson,1978,b2_c6_r29
"Bárdossy, A. and Pegram, G.G.S. (2009), Copula based multisite model for daily precipitation simulation, Hydrol. Earth Syst. Sci., Volume 13(12), pp.2299-2314.",Bardossy and Pegram,2009,b2_c6_r3
"Econopouly, T.W., Davis, D.R. and Woolhiser, D.A. (1990), Parameter transferability for a daily rainfall disaggregation model, Journal of Hydrology, Volume 118(1-4), pp.209-228.",Econopouly et al,1990,b2_c6_r30
"Evin, G., and Favre, A.C. (2012), Further developments of a transient Poisson-cluster model for rainfall, Stochastic Environmental Research and Risk Assessment, Volume 27(4), pp.831-847.",Evin and Favre,2012,b2_c6_r31
"Fasano, G. and Franceschini, A. (1987), A Multidimensional Version of the Kolmogorov-Smirnov Test, Mon Not R Astron Soc, Volume 225(1), pp.155-170.",Fasano and Fanceschini,1987,b2_c6_r32
"Feyerherm, A.M. and Bark, L.D. (1965), Statistical Methods for Persistent Precipitation Patterns, Journal of Applied Meteorology, Volume 4(3), pp.320-328.",Feyerherm and Bark,1965,b2_c6_r33
"Feyerherm, A.M. and Bark, L.D. (1967), Goodness of Fit of a Markov Chain Model for Sequences of Wet and Dry Days, Journal of Applied Meteorology, Volume 6(5), pp.770-773.",Feyerherm and Bark,1967,b2_c6_r34
"Gabriel, K.R. and Neumann, J. (1962), A Markov chain model for daily rainfall occurrence at Tel Aviv, Q.J Royal Met. Soc., Volume 88(375), pp.90-95.",Gabriel and Neumann,1962,b2_c6_r35
"Garcia-Guzman, A., and Aranda-Oliver, E. (1993), A stochastic model of dimensionless hyetograph, Water Resources Research, Volume 29(7), pp.2363-2370.",Garcia-Guzman and Aranda-Oliver,1993,b2_c6_r36
"Gates, P. and Tong, H. (1976), On Markov Chain Modeling to Some Weather Data, Journal of Applied Meteorology, Volume 15(11), pp.1145-1151.",Gates and Tong,1976,b2_c6_r37
"Gregory, J.M., Wigley, T.M.L. and Jones, P.D. (1993), Application of Markov models to area-average daily precipitation series and interannual variability in seasonal totals, Clim. Dyn., Volume 8, pp.299-310.",Gregory et al,1993,b2_c6_r38
"Gupta, V.K. and Waymire, E.C. (1993), A Statistical Analysis of Mesoscale Rainfall as a Random Cascade, Journal of Applied Meteorology, Volume 32(2), pp.251-267.",Gupta and Waymire,1993,b2_c6_r39
"Bárdossy, A. and Pegram, G. (2014), Infilling missing precipitation records - A comparison of a new copula-based method with other techniques, Journal of Hydrology, 519, Part A, pp.1162-1170.",Bardossy and Pegram,2014,b2_c6_r4
"Gyasi-Agyei, Y. (2013), Evaluation of the effects of temperature changes on fine timescale rainfall, Water Resources Research, Volume 49(7), pp.4379-4398.",Gyasi-Agyei,2013,b2_c6_r40
"Haan, C.T., Allen, D.M. and Street, J.D. (1976), A Markov chain model of daily rainfall, Water Resour. Res., Volume 12, pp.443-449.",Haan et al,1976,b2_c6_r41
"Harrold, T.I., Sharma, A. and Sheather, S.J. (2003), A nonparametric model for stochastic generation of daily rainfall occurrence - art. no. 1300, Water Resources Research, Volume 39(10), pp.1300-1300.",Harrold et al,2003,b2_c6_r42
"Harrold, T.I., Sharma, A. and Sheather, S.J. (2003), A nonparametric model for stochastic generation of daily rainfall amounts - art. no. 1343, Water Resources Research, Volume 39(12), pp.1343-1343.",Harrold et al,2003,b2_c6_r43
"Heaps, S.E., Boys, R.J. and Farrow, M. (2015), Bayesian modelling of rainfall data by using non-homogeneous hidden Markov models and latent Gaussian variables, Journal of the Royal Statistical Society: Series C (Applied Statistics), Volume 64(3), pp.543-568.",Heaps et al,2015,b2_c6_r44
"Heneker, T.M., Lambert, M.F. and Kuczera, G. (2001), A point rainfall model for risk-based design, Journal of Hydrology, Volume 247(1-2), pp.54-71.",Heneker et al,2001,b2_c6_r45
"Hershenhorn, J. and Woolhiser, D.A. (1987), Disaggregation of daily rainfall, Journal of Hydrology, Volume 95(3-4), pp.299-322.",Hershenhorn and Woolhiser,1987,b2_c6_r46
"Hopkins, J.W. and Robillard, P. (1964), Some Statistics of Daily Rainfall Occurrence for the Canadian Prairie Provinces, Journal of Applied Meteorology, Volume 3(5), pp.600-602.",Hopkins and Robillard,1964,b2_c6_r47
"Hughes, J.P. and Guttorp, P. (1994), Incorporating Spatial Dependence and Atmospheric Data in a Model of Precipitation, Journal of Applied Meteorology, Volume 33(12), pp.1503-1515.",Hughes and Guttorp,1994,b2_c6_r48
"Jeffrey, S.J., Carter, J.O., Moodie, K.B. and Beswick, A.R. (2001), Using spatial interpolation to construct a comprehensive archive of Australian climate data, Environmental Modelling & Software, Volume 16(6), pp.309-330.",Jeffrey et al,2001,b2_c6_r49
"Beesley, C.A., Frost, A.J. and Zajaczkowski, J. (2009), A comparison of the BAWAP and SILO spatially interpolated daily rainfall datasets, paper presented at 18th World IMACS / MODSIM Congress, MSSANZ, Cairns, Australia",Beesley et al,2009,b2_c6_r5
"Jha, S.K., Mariethoz, G., Evans, J., McCabe, M.F. and Sharma, A. (2015), A space and time scale dependent non-linear geostatistical approach for downscaling daily precipitation and temperature, Water Resources Research, available at: http://onlinelibrary.wiley.com/doi/10.1002/2014WR016729/full accesses [20 July 2015.]",Jha et al,2015,b2_c6_r50
"Jones, D., Wang, W.and Fawcett, R. (2009), High-quality spatial climate data-sets for Australia, Australian Meteorological and Oceanographic Journal, Volume 58, pp.233-248.",Jones et al ,2009,b2_c6_r51
"Jones, P.G. and Thornton, P.K. (1997), Spatial and temporal variability of rainfall related to a third-order Markov model, Agricultural and Forest Meteorology, Volume 86(1-2), pp.127-138.",Jones and Thornton,1997,b2_c6_r52
"Katz, R.W. and Parlange, M.B. (1998), Overdispersion phenomenon in stochastic modeling of precipitation, Journal of Climate, Volume 11(4), pp.591-601.",Katz and Parlange,1998,b2_c6_r53
"Katz, R.W., Parlange, M.B. and Tebaldi, C. (2003), Stochastic modeling of the effects of large-scale circulation on daily weather in the southeastern US, Climatic Change, Volume 60(1-2), pp.189-216.",Katz et al,2003,b2_c6_r54
"Kavvas, M.L. and Delleur, J.W. (1981), A stochastic cluster model of daily rainfall sequences, Water Resources Research, Volume 17(4), pp.1151-1160.",Kavvas and Delleur,1981,b2_c6_r55
"Kim, D., Kim, J. and Cho, Y.-S. (2014), A Poisson Cluster Stochastic Rainfall Generator That Accounts for the Interannual Variability of Rainfall Statistics: Validation at Various Geographic Locations across the United States, Journal of Applied Mathematics, 2014, pp.1-14.",Kim et al,2014,b2_c6_r56
"Kim, Y., Katz, R.W. Rajagopalan, B., Podestá, G.P. and Furrer, E.M. (2012), Reducing overdispersion in stochastic weather generators using a generalized linear modeling approach, Climate Research, Volume 53(1), pp.13-24.",Kim et al,2012,b2_c6_r57
"Kleiber, W., R. W. Katz, and B. Rajagopalan (2012), Daily spatiotemporal precipitation simulation using latent and transformed Gaussian processes, Water Resources Research, 48(1).",Kleiber et al,2012,b2_c6_r58
"Koutsoyiannis, D. (2001), Coupling stochastic models of different timescales, Water Resources Research, Volume 37(2), pp.379-391.",Koutsoyiannis,2001,b2_c6_r59
"Blazkova, S. and Beven, K. (2002), Flood frequency estimation by continuous simulation for a catchment treated as ungauged (with uncertainty), Water Resources Research, Volume 38(8).",Blazkova and Beven,2002,b2_c6_r6
"Koutsoyiannis, D. and Pachakis, D. (1996), Deterministic chaos versus stochasticity in analysis and modeling of point rainfall series, Journal of Geophysical Research, Volume 101(D21), pp.26,444-426,451.",Koutsoyiannis and Pachakis,1996,b2_c6_r60
"Koutsoyiannis, D. and Onof, C. (2000), A computer program for temporal rainfall disaggregation using adjusting procedures, paper presented at 25th General Assembly of the European Geophysical Society, EGS, Nice.",Koutsoyiannis and Onof,2000,b2_c6_r61
"Koutsoyiannis, D., Onof, C. and Wheater, H.S. (2003), Multivariate rainfall disaggregation at a fine timescale - art. no. 1173, Water Resources Research, Volume 39(7), pp.1173-1173.",Koutsoyiannis et al,2003,b2_c6_r62
"La Barbera, P., Lanza, L.G. and Stagi, L. (2002), Tipping bucket mechanical errors and their influence on rainfall statistics and extremes, Water Science and Technology, Volume 45(2), pp.1-10.",La Barbera et al,2002,b2_c6_r63
"Lall, U. and Sharma, A. (1996), A nearest neighbor bootstrap for time series resampling, Water Resources Research, Volume 32(3), pp.679-693.",Lall and Sharma,1996,b2_c6_r64
"Lall, U., Rajagopalan, B. and Tarboton. D.G. (1996), A nonparametric wet/dry spell model for resampling daily precipitation, Water Resources Research, Volume 32(9), pp.2803-2823.",Lall et al,1996,b2_c6_r65
"Lamb, R., and Kay, A.L. (2004), Confidence intervals for a spatially generalized, continuous simulation flood frequency model for Great Britain, Water Resources Research, Volume 40(7).",Lamb and Kay,2004,b2_c6_r66
"Lambert, M., and Kuczera, g. (1998), Seasonal generalized exponential probability models with application to interstorm and storm durations, Water Resources Research, Volume 34(1), pp.143-148.",Lambert and Kuczera,1998,b2_c6_r67
"Leblois, E., and Creutin J.-E. (2013), Space-time simulation of intermittent rainfall with prescribed advection field: Adaptation of the turning band method, Water Resources Research, Volume 49(6), pp.3375-3387.",Leblois and Creutin,2013,b2_c6_r68
"Leonard, M., Lambert, M.F. Metcalfe, A.V. and Cowpertwait, P.S.P. (2008), A space-time Neyman-Scott rainfall model with defined storm extent, Water Resources Research, Volume 44(9).",Leonard et al,2008,b2_c6_r69
"Boughton, W. and Droop, O. (2003), Continuous simulation for design flood estimation - a review, Environmental Modelling & Software, Volume 18(4), pp.309-318.",Boughton and Droop,2003,b2_c6_r7
"Lovejoy, S. and Schertzer, D. (1990), Multifractals, universality classes and satellite and radar measurements of cloud and rain fields, J. Geophys. Res., Volume 95(D3), pp.2021.",Lovejoy and Schertzer,1990,b2_c6_r70
"McMahon, T.A. and Srikanthan, R. (1983), Statistical characteristics of Australian Rainfall and EvaporationRep.",McMahon and Srikanthan,1983,b2_c6_r71
"Mehrotra, R., and Sharma, A. (2006), A nonparametric stochastic downscaling framework for daily rainfall at multiple locations, Journal of Geophysical Research-Atmospheres, 111(D15101), doi:10.1029/2005JD006637.",Mehrotra and Sharma,2006,b2_c6_r72
"Mehrotra, R., and Sharma, A. (2007), Preserving low-frequency variability in generated daily rainfall sequences, Journal of Hydrology, Volume 345(1-2), pp.102-120.",Mehrotra and Sharma,2007,b2_c6_r73
"Mehrotra, R. and Sharma, A. (2007), A semi-parametric model for stochastic generation of multi-site daily rainfall exhibiting low-frequency variability, Journal of Hydrology, Volume 335(1-2), pp.180-193.",Mehrotra and Sharma,2007,b2_c6_r74
"Mehrotra, R., and Sharma, A. (2010), Development and Application of a Multisite Rainfall Stochastic Downscaling Framework for Climate Change Impact Assessment, Water Resources Research, 46.",Mehrotra and Sharma,2010,b2_c6_r75
"Mehrotra, R., Westra, S., Sharma, A. and Srikanthan, R. (2012), Continuous rainfall simulation: 2 - A regionalised daily rainfall generation approach, Water Resources Research, Volume 48(1), W01536",Mehrotra et al,2012,b2_c6_r76
"Mehrotra, R., Li, J., Westra, S. and Sharma, A. (2015), A programming tool to generate multi-site daily rainfall using a two-stage semi parametric model Environmental Modelling & Software, Volume 63, pp.230-239.",Mehrotra et al,2015,b2_c6_r77
"Menabde, M. and Sivapalan, M. (2000), Modeling of rainfall time series and extremes using bounded random cascades and Levy-stable distribution, Water Resources Research, Volume 36(11), pp.3293-3300.",Menabde and Sivapalan,2000,b2_c6_r78
"Menabde, M., Seed, D., Harris and Austin, G. (1997), Self-similar random fields and rainfall simulation, J. Geophys. Res., 102(D12), 13509.",Menabde et al,1997,b2_c6_r79
"Boughton, W.C. (1999), A daily rainfall generating model for water yield and flood studiesRep. Report 99/9, 21pp pp, CRC for Catchment Hydrology, Monash University, Melbourne.",Boughton,1999,b2_c6_r8
"Micevski, T. and Kuczera, G. (2009), Combining Site and Regional Flood Information Using a Bayesian Monte Carlo Approach, Water Resources Research(doi:10.1029/2008WR007173), available at: online on http://www.agu.org/journals/wr/papersinpress.shtml",Micevski and Kuczera,2009,b2_c6_r80
"Molnar, P. and Burlando, P. (2005), Preservation of rainfall properties in stochastic disaggregation by a simple random cascade model, Atmospheric Research, Volume 77(1-4), pp.137-151.",Molnar and Burlando,2005,b2_c6_r81
"Olsson, J. and Berndtsson, R. (1998), Temporal rainfall disaggregration based on scaling properties, Water Science and Technology, Volume 37(11), pp.73-79.",Olsson and Berndtsson,1998,b2_c6_r82
"Onof, C. and Townend, J. (2004), Modelling 5-minute rainfall extremes, paper presented at British Hydrological Society International Conference, London.",Onof and Townend,2004,b2_c6_r83
